corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,deadline_ns,coarse_max_step_ps,fine_max_step_ps,coarse_run_id,fine_run_id,coarse_outcome,fine_outcome,energy_difference_percent,latency_difference_ns,passed
ff,1.8,-40.0,0.003,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.35,10.0,5.0,6d1471f5e02b0d2c0c7cc8fc,14941f96780934257b20719c,correct,correct,0.020517848298276995,0.0022443820245984236,True
ff,1.8,-40.0,0.003,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.5,10.0,5.0,6d1471f5e02b0d2c0c7cc8fc,14941f96780934257b20719c,correct,correct,0.020517848298276995,0.0022443820245984236,True
ff,1.8,-40.0,0.003,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.75,10.0,5.0,6d1471f5e02b0d2c0c7cc8fc,14941f96780934257b20719c,correct,correct,0.020517848298276995,0.0022443820245984236,True
ff,1.8,-40.0,0.003,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,1.0,10.0,5.0,6d1471f5e02b0d2c0c7cc8fc,14941f96780934257b20719c,correct,correct,0.020517848298276995,0.0022443820245984236,True
ff,1.8,-40.0,0.003,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,2.0,10.0,5.0,6d1471f5e02b0d2c0c7cc8fc,14941f96780934257b20719c,correct,correct,0.020517848298276995,0.0022443820245984236,True
ff,1.8,27.0,-0.01,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,0.25,10.0,5.0,034dc0c88ed14eccb3e95b3e,aba017658e4f36b1d397cbbc,unresolved,unresolved,0.0025873885344796697,,True
ff,1.8,27.0,-0.01,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,0.35,10.0,5.0,034dc0c88ed14eccb3e95b3e,aba017658e4f36b1d397cbbc,correct,correct,0.0025873885344796697,0.006797578568861706,True
ff,1.8,27.0,-0.01,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,0.5,10.0,5.0,034dc0c88ed14eccb3e95b3e,aba017658e4f36b1d397cbbc,correct,correct,0.0025873885344796697,0.006797578568861706,True
ff,1.8,27.0,-0.01,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,0.75,10.0,5.0,034dc0c88ed14eccb3e95b3e,aba017658e4f36b1d397cbbc,correct,correct,0.0025873885344796697,0.006797578568861706,True
ff,1.8,27.0,-0.01,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,1.0,10.0,5.0,034dc0c88ed14eccb3e95b3e,aba017658e4f36b1d397cbbc,correct,correct,0.0025873885344796697,0.006797578568861706,True
ff,1.8,27.0,-0.01,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,2.0,10.0,5.0,034dc0c88ed14eccb3e95b3e,aba017658e4f36b1d397cbbc,correct,correct,0.0025873885344796697,0.006797578568861706,True
ff,1.8,27.0,-0.0005,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.25,10.0,5.0,09761309d8d95d0016b6bb6b,02cbdefac7a5e4cc14a457df,unresolved,unresolved,0.014586847976230723,,True
ff,1.8,27.0,-0.0005,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.35,10.0,5.0,09761309d8d95d0016b6bb6b,02cbdefac7a5e4cc14a457df,wrong,wrong,0.014586847976230723,0.0030186836632700165,True
ff,1.8,27.0,-0.0005,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.5,10.0,5.0,09761309d8d95d0016b6bb6b,02cbdefac7a5e4cc14a457df,wrong,wrong,0.014586847976230723,0.0030186836632700165,True
ff,1.8,27.0,-0.0005,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.75,10.0,5.0,09761309d8d95d0016b6bb6b,02cbdefac7a5e4cc14a457df,wrong,wrong,0.014586847976230723,0.0030186836632700165,True
ff,1.8,27.0,-0.0005,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,1.0,10.0,5.0,09761309d8d95d0016b6bb6b,02cbdefac7a5e4cc14a457df,wrong,wrong,0.014586847976230723,0.0030186836632700165,True
