corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,case_id,stress,input_mv,calibration_policy,deadline_ns,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,max_differential_input_error_mv,max_common_mode_input_error_mv,run_id
tt,1.8,27.0,0.001,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,-0.03,TT | 1.80 V | 27 C | skew +4%,opposite_input_history,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,0.47290102740329115,145.7101573219316,True,1.7999987911730864,4.333155517247272e-05,8.673617379884035e-16,1.1102230246251565e-13,4276cd7a4d78794bc690328e
tt,1.8,27.0,0.003,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,-0.03,TT | 1.80 V | 27 C | skew +4%,opposite_input_history,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,correct,0.4342117939088707,143.07301909762663,True,1.7996005907131178,0.014366443031070817,2.6020852139652106e-15,1.1102230246251565e-13,854e20223494ec9bed37780c
tt,1.8,27.0,0.003,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,-0.03,TT | 1.80 V | 27 C | skew +4%,opposite_input_history,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,0.4342117939088707,143.07301909762663,True,1.7999988891642005,3.8560282972561964e-05,2.6020852139652106e-15,1.1102230246251565e-13,854e20223494ec9bed37780c
tt,1.8,27.0,-0.003,0.5,0.04,-2,5.0,10.0,baseline,1000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_1k_20f,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,wrong,0.4633332308208581,142.88254204110302,True,1.799499295360792,0.021443948203798968,24.398068873932697,23.260381986286106,8683fdcc60ad2d53d0460bc1
tt,1.8,27.0,-0.003,0.5,0.04,-2,5.0,10.0,baseline,1000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_1k_20f,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,wrong,0.4633332308208581,142.88254204110302,True,1.7999972520649696,9.475942309053909e-05,24.398068873932697,23.260381986286106,8683fdcc60ad2d53d0460bc1
tt,1.8,27.0,-0.001,0.5,0.04,-2,5.0,10.0,baseline,1000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_1k_20f,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,wrong,0.4449954107137593,141.38060021564152,True,1.7995159659473616,0.020318410754055497,22.838817238720722,23.25685032958946,1431e1b4ac1a5a307db8772b
tt,1.8,27.0,-0.001,0.5,0.04,-2,5.0,10.0,baseline,1000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_1k_20f,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,wrong,0.4449954107137593,141.38060021564152,True,1.7999975529085417,8.713356531128901e-05,22.838817238720722,23.25685032958946,1431e1b4ac1a5a307db8772b
tt,1.8,27.0,0.001,0.5,0.04,-2,5.0,10.0,baseline,1000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_1k_20f,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,correct,0.42522080921594985,140.30007366661602,True,1.7995306355416814,0.019353431853198187,21.592410940453277,23.24918288636846,d713d3f39cee87e52a4ab4ad
tt,1.8,27.0,0.001,0.5,0.04,-2,5.0,10.0,baseline,1000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_1k_20f,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,0.42522080921594985,140.30007366661602,True,1.7999977235866145,8.065799816622796e-05,21.592410940453277,23.24918288636846,d713d3f39cee87e52a4ab4ad
tt,1.8,27.0,0.003,0.5,0.04,-2,5.0,10.0,baseline,1000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_1k_20f,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,correct,0.41523791833092005,139.44308474026786,True,1.7995444750825933,0.018481772751262383,20.876069152358404,23.2380701222451,95fd7f7d89635741b29bad07
tt,1.8,27.0,0.003,0.5,0.04,-2,5.0,10.0,baseline,1000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_1k_20f,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,0.41523791833092005,139.44308474026786,True,1.79999788800988,7.494658929174737e-05,20.876069152358404,23.2380701222451,95fd7f7d89635741b29bad07
tt,1.8,27.0,-0.003,0.5,0.04,-2,5.0,10.0,baseline,5000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_5k_20f,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,wrong,0.46589501846336806,137.59601539780226,True,1.7994955428492034,0.03622417250800097,54.967983938907224,47.17636905910594,1102ba9d72a08da9e02fa9dc
tt,1.8,27.0,-0.003,0.5,0.04,-2,5.0,10.0,baseline,5000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_5k_20f,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,wrong,0.46589501846336806,137.59601539780226,True,1.799984824978576,0.0008695811311565817,54.967983938907224,47.17636905910594,1102ba9d72a08da9e02fa9dc
tt,1.8,27.0,-0.001,0.5,0.04,-2,5.0,10.0,baseline,5000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_5k_20f,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,wrong,0.45580691437879844,137.0774468436624,True,1.7994917203261982,0.03537561809876004,54.69796251648973,47.12577946998153,b7cfb8c23465a846a9502885
tt,1.8,27.0,-0.001,0.5,0.04,-2,5.0,10.0,baseline,5000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_5k_20f,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,wrong,0.45580691437879844,137.0774468436624,True,1.7999853584000054,0.0008382804914430948,54.69796251648973,47.12577946998153,b7cfb8c23465a846a9502885
tt,1.8,27.0,0.001,0.5,0.04,-2,5.0,10.0,baseline,5000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_5k_20f,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,correct,0.45600963413343987,136.6038626301895,True,1.7994889153977673,0.03455542930434126,54.365707734265634,47.074525102003825,a10e69047b5f693bdb2cf402
tt,1.8,27.0,0.001,0.5,0.04,-2,5.0,10.0,baseline,5000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_5k_20f,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,0.45600963413343987,136.6038626301895,True,1.7999858617939846,0.0008090659152318481,54.365707734265634,47.074525102003825,a10e69047b5f693bdb2cf402
