corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,deadline_ns,coarse_max_step_ps,fine_max_step_ps,coarse_run_id,fine_run_id,coarse_outcome,fine_outcome,energy_difference_percent,latency_difference_ns,passed
sf,1.62,125.0,-0.001,0.5,0.04,-6,5.0,5.0,lvt_balanced_4b,0.0,0.0,,0.35,5.0,2.5,2d5f6baa944e9e08155cceb8,38905edbd4e4ef08c0356be0,unresolved,unresolved,4.119066218742445,,False
sf,1.62,125.0,-0.001,0.5,0.04,-6,5.0,5.0,lvt_balanced_4b,0.0,0.0,,0.5,5.0,2.5,2d5f6baa944e9e08155cceb8,38905edbd4e4ef08c0356be0,unresolved,unresolved,4.119066218742445,,False
sf,1.62,125.0,-0.001,0.5,0.04,-6,5.0,5.0,lvt_balanced_4b,0.0,0.0,,0.75,5.0,2.5,2d5f6baa944e9e08155cceb8,38905edbd4e4ef08c0356be0,correct,wrong,4.119066218742445,0.14997632569789976,False
sf,1.62,125.0,-0.001,0.5,0.04,-6,5.0,5.0,lvt_balanced_4b,0.0,0.0,,1.0,5.0,2.5,2d5f6baa944e9e08155cceb8,38905edbd4e4ef08c0356be0,correct,wrong,4.119066218742445,0.14997632569789976,False
sf,1.62,125.0,-0.001,0.5,0.04,-6,5.0,5.0,lvt_balanced_4b,0.0,0.0,,2.0,5.0,2.5,2d5f6baa944e9e08155cceb8,38905edbd4e4ef08c0356be0,correct,wrong,4.119066218742445,0.14997632569789976,False
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,5.0,lvt_balanced_4b,0.0,0.0,,0.25,5.0,2.5,1110dd990b3d2ffdf8da1ca3,4588bbce52f527868b18dfda,unresolved,unresolved,0.05572307578496126,,True
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,5.0,lvt_balanced_4b,0.0,0.0,,0.35,5.0,2.5,1110dd990b3d2ffdf8da1ca3,4588bbce52f527868b18dfda,correct,correct,0.05572307578496126,0.003688601792898649,True
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,5.0,lvt_balanced_4b,0.0,0.0,,0.5,5.0,2.5,1110dd990b3d2ffdf8da1ca3,4588bbce52f527868b18dfda,correct,correct,0.05572307578496126,0.004263229079599695,True
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,5.0,lvt_balanced_4b,0.0,0.0,,0.75,5.0,2.5,1110dd990b3d2ffdf8da1ca3,4588bbce52f527868b18dfda,correct,correct,0.05572307578496126,0.004263229079599695,True
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,5.0,lvt_balanced_4b,0.0,0.0,,1.0,5.0,2.5,1110dd990b3d2ffdf8da1ca3,4588bbce52f527868b18dfda,correct,correct,0.05572307578496126,0.004263229079599695,True
