corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,deadline_ns,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,original_run_id,run_id
tt,1.8,27.0,0.001,0.5,0.0,0,5.0,0.625,baseline,0.0,0.0,,0.75,1,correct,0.5003125000005392,144.31049139707653,True,1.798524956233087,0.057924701437516844,f0c47ffb0f8ab2649ffaddc9,596597aa3bde2b2c115e5312
tt,1.8,27.0,0.001,0.5,0.0,0,5.0,0.625,baseline,0.0,0.0,,1.0,1,correct,0.5003125000005392,144.31049139707653,True,1.7994915629535324,0.01992991091179737,f0c47ffb0f8ab2649ffaddc9,596597aa3bde2b2c115e5312
tt,1.8,27.0,0.001,0.5,0.0,0,5.0,0.625,baseline,0.0,0.0,,2.0,1,correct,0.5003125000005392,144.31049139707653,True,1.799998082157207,6.549131442146281e-05,f0c47ffb0f8ab2649ffaddc9,596597aa3bde2b2c115e5312
sf,1.62,125.0,-0.001,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.25,0,unresolved,,235.92650890752506,True,0.828573407692524,0.8054872226389613,57641b4ceba1e2ec31df6577,91c6efc8fba808b5a07843c7
sf,1.62,125.0,-0.001,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.35,0,unresolved,,235.92650890752506,True,0.8182799596332359,0.7759612100657463,57641b4ceba1e2ec31df6577,91c6efc8fba808b5a07843c7
sf,1.62,125.0,-0.001,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.5,0,unresolved,,235.92650890752506,True,1.0635791224798612,0.47106425362020216,57641b4ceba1e2ec31df6577,91c6efc8fba808b5a07843c7
sf,1.62,125.0,-0.001,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.75,1,wrong,0.5353125000005788,235.92650890752506,True,1.6183480580608183,0.01959186810079657,57641b4ceba1e2ec31df6577,91c6efc8fba808b5a07843c7
sf,1.62,125.0,-0.001,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,1.0,1,wrong,0.5353125000005788,235.92650890752506,True,1.6197625585864468,0.004194199953739215,57641b4ceba1e2ec31df6577,91c6efc8fba808b5a07843c7
sf,1.62,125.0,-0.001,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,2.0,1,wrong,0.5353125000005788,235.92650890752506,True,1.6199986950977885,9.800438264850129e-06,57641b4ceba1e2ec31df6577,91c6efc8fba808b5a07843c7
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.25,0,unresolved,,224.9945519479847,True,0.9145549388934034,0.7189727185571695,3fdd1b2e64124e94bfeca780,5d1b9ad3de901c63174f5e5a
