corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,case_id,policy,input_mv,deadline_ns,policy_available,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,run_id,initial_run_id,numerically_refined
tt,1.62,-40.0,-0.003,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-3.0,1.0,True,0.0,unresolved,,97.45392906345351,True,1.0724488024948078,0.77711875000798,45d6021bb20151a6f4cf8688,45d6021bb20151a6f4cf8688,False
tt,1.62,-40.0,-0.003,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-3.0,2.0,True,1.0,wrong,1.4229879618902987,97.45392906345351,True,1.6187475243745992,0.0869660733290092,45d6021bb20151a6f4cf8688,45d6021bb20151a6f4cf8688,False
tt,1.62,-40.0,-0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-1.0,0.25,True,0.0,unresolved,,96.39484392890444,True,1.611205294575851,1.5870129931209749,3055cd8b75be3b2936461875,3055cd8b75be3b2936461875,False
tt,1.62,-40.0,-0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-1.0,0.35,True,0.0,unresolved,,96.39484392890444,True,1.50014068734774,1.441324174772474,3055cd8b75be3b2936461875,3055cd8b75be3b2936461875,False
tt,1.62,-40.0,-0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-1.0,0.5,True,0.0,unresolved,,96.39484392890444,True,1.350310583084345,1.2442074684577515,3055cd8b75be3b2936461875,3055cd8b75be3b2936461875,False
tt,1.62,-40.0,-0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-1.0,0.75,True,0.0,unresolved,,96.39484392890444,True,1.1846702133353766,0.9579662264514612,3055cd8b75be3b2936461875,3055cd8b75be3b2936461875,False
tt,1.62,-40.0,-0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-1.0,1.0,True,0.0,unresolved,,96.39484392890444,True,1.1418806924578249,0.6983099366739661,3055cd8b75be3b2936461875,3055cd8b75be3b2936461875,False
tt,1.62,-40.0,-0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-1.0,2.0,True,1.0,wrong,1.3537403072151706,96.39484392890444,True,1.6191104969918535,0.073345452269401,3055cd8b75be3b2936461875,3055cd8b75be3b2936461875,False
tt,1.62,-40.0,-0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.5,0.25,True,0.0,unresolved,,96.17337637074375,True,1.6122193509379357,1.585723030172165,9fa2e5556806bbb396020a2a,9fa2e5556806bbb396020a2a,False
tt,1.62,-40.0,-0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.5,0.35,True,0.0,unresolved,,96.17337637074375,True,1.5027829900916494,1.4384549001740885,9fa2e5556806bbb396020a2a,9fa2e5556806bbb396020a2a,False
