point_id,mode,corner,vdd_v,temperature_c,differential_mv,trim_code,pair_skew,common_mode_ratio,load_ff_each,finest_attempt_id,finest_step_ps,execution_status,numerically_qualified,core_energy_fj,outcome_1ns,decision_1ns,decision_time_ns_1ns,qp_at_deadline_v_1ns,qn_at_deadline_v_1ns,reset_ok_1ns,outcome_2ns,decision_2ns,decision_time_ns_2ns,qp_at_deadline_v_2ns,qn_at_deadline_v_2ns,reset_ok_2ns
c01-schematic-m10,schematic,tt,1.8,27,-10,0,0,0.5,5,a0003-12de381023e35fd36816b1c4,5,success,True,240.68553661238087,correct,-1,0.22601019857105023,0.0009481707540784779,1.7999615848797543,True,correct,-1,0.22601019857105023,1.7007785991642019e-06,1.7999999306313887,True
c01-rc-m10,rc,tt,1.8,27,-10,0,0,0.5,5,a0004-dd44fce67cd1385bb4de4b1d,5,success,True,417.7506429140066,correct,-1,0.5374425770080407,0.031408490384280986,1.7987779604083165,True,correct,-1,0.5374425770080407,0.0003297217365010045,1.7999856945700936,True
