corner,vdd_v,temperature_c,mode,differential_mv,pair_skew,trim_code,external_load_ff_each,max_step_ps,run_id,numerically_qualified,reset_ok,outcome_at_1ns,decision_at_1ns,latency_at_1ns_ns,core_energy_fj,qp_at_1ns_v,qn_at_1ns_v,outcome_at_2ns,decision_at_2ns,latency_at_2ns_ns,retained_10_to_5ps_agree_at_2ns,outcome_at_3_5ns
ss,1.62,-40,lvs,10.0,0,0,5,5,90b922820072fb636517fc5e,True,True,correct,1,0.5388727966507307,164.09281924297173,1.6188473051900985,0.08177003194480005,correct,1,0.5388727966507307,True,not_evaluated
ss,1.62,-40,c,-10.0,0,0,5,5,d5aa44f9d722e42ccffcceb0,True,True,unresolved,0,,241.52714998415124,0.32922927376199795,1.4450495009300435,correct,-1,1.0078108088936382,True,not_evaluated
ss,1.62,-40,c,-3.0,0,0,5,5,9311206a2b94e831644ded34,True,True,unresolved,0,,247.55601334065662,0.6802215044368393,1.1952402474971657,correct,-1,1.2565996787489682,True,not_evaluated
ss,1.62,-40,c,3.0,0,0,5,5,14808fbdecb32cb73ba0cc7b,True,True,unresolved,0,,247.35399435309003,1.2006096765957777,0.6690890051698752,correct,1,1.2454004614662502,True,not_evaluated
ss,1.62,-40,c,10.0,0,0,5,5,32429766d5df2385bf7ab39f,True,True,unresolved,0,,241.439025282418,1.4492919855543025,0.32628873011391957,correct,1,1.0029306948493202,True,not_evaluated
ss,1.62,-40,rc,-10.0,0,0,5,5,52c58091b29ba7b18ebfecd0,True,True,unresolved,0,,288.67784649886045,0.7755785667413632,1.4439366274470933,correct,-1,1.3258250308724007,True,not_evaluated
ss,1.62,-40,rc,-3.0,0,0,5,5,3e24dcb7350b577ec46c3195,True,True,unresolved,0,,295.5680321375881,1.0252089694876745,1.2801623031863296,correct,-1,1.5812388274873799,True,not_evaluated
ss,1.62,-40,rc,3.0,0,0,5,5,029f110ba5be558b151e34a7,True,True,unresolved,0,,295.0399910297343,1.2885364993007276,1.014353429220099,correct,1,1.5612401046455806,True,not_evaluated
ss,1.62,-40,rc,10.0,0,0,5,5,d919572fa5bb60be0e8c6a4f,True,True,unresolved,0,,288.39888500549165,1.4471517674501952,0.7682765806859082,correct,1,1.3207963192872003,True,not_evaluated
ss,1.62,125,schematic,-10.0,0,0,5,5,87ce0b56ec87aee5a9df4c5f,True,True,correct,-1,0.4543403633949596,205.57351788998943,0.05447745062743614,1.6189406011327516,correct,-1,0.4543403633949596,True,not_evaluated
ss,1.62,125,schematic,-3.0,0,0,5,5,8dbf5a35ceb6d283a8479a5f,True,True,correct,-1,0.5512528709945304,208.74780714890161,0.05855502918970597,1.618893688204755,correct,-1,0.5512528709945304,True,not_evaluated
ss,1.62,125,schematic,3.0,0,0,5,5,43c806bf9837763ae43ee72b,True,True,correct,1,0.5512528709986994,208.74780714889758,1.6188936882047553,0.05855502918970677,correct,1,0.5512528709986994,True,not_evaluated
ss,1.62,125,schematic,10.0,0,0,5,5,6bedbc5084b49039d36285ee,True,True,correct,1,0.45434037098027863,205.57351790111616,1.6189406011314402,0.054477450617017024,correct,1,0.45434037098027863,True,not_evaluated
ss,1.62,125,lvs,-10.0,0,0,5,5,fa5de7c94b7cee9c4dfe9518,True,True,correct,-1,0.4532558104975602,205.57424452052476,0.054478680324279945,1.6189407232149866,correct,-1,0.4532558104975602,True,not_evaluated
ss,1.62,125,lvs,-3.0,0,0,5,5,dde79a909878f1737e1e9359,True,True,correct,-1,0.5474122776408702,208.75744343064736,0.05855720650642464,1.6188936549518025,correct,-1,0.5474122776408702,True,not_evaluated
ss,1.62,125,lvs,3.0,0,0,5,5,82961724ba3cb4f95b02d745,True,True,correct,1,0.5490668697658607,208.752348260006,1.618893696046223,0.05855613156541698,correct,1,0.5490668697658607,True,not_evaluated
ss,1.62,125,lvs,10.0,0,0,5,5,cf75b245e9a010b9222f4fae,True,True,correct,1,0.4540079386807781,205.5732740448089,1.6189406648966214,0.05447848313849394,correct,1,0.4540079386807781,True,not_evaluated
ss,1.62,125,c,-10.0,0,0,5,5,a81f42d60913a2de48cf86e0,True,True,correct,-1,0.8042777164453689,290.93678477789985,0.13733158794868822,1.6098526983222847,correct,-1,0.8042777164453689,True,not_evaluated
ss,1.62,125,c,-3.0,0,0,5,5,fe32976a5fb5466012ba1b4e,True,True,correct,-1,0.982853914151129,297.17175296624157,0.2847589066882708,1.5077214826927907,correct,-1,0.982853914151129,True,not_evaluated
ss,1.62,125,c,3.0,0,0,5,5,3136c64ae3a6452e09a821ca,True,True,correct,1,0.9712471793704186,296.8544499881928,1.5220799666638962,0.268419041434976,correct,1,0.9712471793704186,True,not_evaluated
ss,1.62,125,c,10.0,0,0,5,5,9d91a20e1700c0dd186f58cd,True,True,correct,1,0.8033492190793802,290.8157453789803,1.61015001990859,0.13621669959215363,correct,1,0.8033492190793802,True,not_evaluated
ss,1.62,125,rc,-10.0,0,0,5,5,e80236b5af3b61e30555c64f,True,True,unresolved,0,,344.2218652416777,0.35923677754482564,1.503128622114186,correct,-1,1.0265448625958906,True,not_evaluated
ss,1.62,125,rc,-3.0,0,0,5,5,459d837f469cb739441e60b8,True,True,unresolved,0,,351.6640059386049,0.7682833677545047,1.160256211483468,correct,-1,1.2292687086759784,True,not_evaluated
ss,1.62,125,rc,3.0,0,0,5,5,3b9a7d3fb617b0fca5672469,True,True,unresolved,0,,350.8362672507248,1.1878184881809402,0.7372540140017547,correct,1,1.204829506992128,True,not_evaluated
ss,1.62,125,rc,10.0,0,0,5,5,ef5ae6f2fcfd5905c98393a0,True,True,unresolved,0,,343.83458474785135,1.5113498463204647,0.3477925535147535,correct,1,1.0165447019786298,True,not_evaluated
ff,1.95,-40,schematic,-10.0,0,0,5,5,7b930e6fadf94a3ef517bf27,True,True,correct,-1,0.13872722622665914,276.52547184394405,1.2392142143305896e-06,1.9499999563845407,correct,-1,0.13872722622665914,True,not_evaluated
ff,1.95,-40,schematic,-3.0,0,0,5,5,063f6442f08c8f02ba961437,True,True,correct,-1,0.16521325974724932,280.86118596960847,1.3352379262934409e-06,1.9499999748944326,correct,-1,0.16521325974724932,True,not_evaluated
ff,1.95,-40,schematic,3.0,0,0,5,5,04107856632a21d00ab11db0,True,True,correct,1,0.16521322691874044,280.8611829465255,1.9499999748956598,1.3352393869926683e-06,correct,1,0.16521322691874044,True,not_evaluated
ff,1.95,-40,schematic,10.0,0,0,5,5,e31fa26e6cfa6b29f1e31113,True,True,correct,1,0.13872722762593112,276.52547189316226,1.9499999563845132,1.2392141715865222e-06,correct,1,0.13872722762593112,True,not_evaluated
ff,1.95,-40,lvs,-10.0,0,0,5,5,886c3147ac5a300047e12192,True,True,correct,-1,0.13839374680927977,276.5280498902198,1.2316623362309638e-06,1.9499999493067965,correct,-1,0.13839374680927977,True,not_evaluated
ff,1.95,-40,lvs,-3.0,0,0,5,5,664e0cf415d052841f899eb9,True,True,correct,-1,0.16525765834653897,280.8681610103678,1.3460139954661118e-06,1.9499999973417685,correct,-1,0.16525765834653897,True,not_evaluated
ff,1.95,-40,lvs,3.0,0,0,5,5,89f17bcefca4d71ff0061c8e,True,True,correct,1,0.16573164452934933,280.8557480862144,1.9499999606604956,1.3497178377415091e-06,correct,1,0.16573164452934933,True,not_evaluated
ff,1.95,-40,lvs,10.0,0,0,5,5,b516f5e8beaac5b920a4fd5e,True,True,correct,1,0.14017574187559964,276.5346905166229,1.9499999459130535,1.3164463185983626e-06,correct,1,0.14017574187559964,True,not_evaluated
ff,1.95,-40,c,-10.0,0,0,5,5,703b715dc458bd9ff77b0c4b,True,True,correct,-1,0.2546297215223899,409.1340249333937,3.9307274302881754e-05,1.949997633238904,correct,-1,0.2546297215223899,True,not_evaluated
ff,1.95,-40,c,-3.0,0,0,5,5,8666cbbd1c6347034ede94a5,True,True,correct,-1,0.30775071283161953,418.25391647740867,5.092540176796854e-05,1.949996890985874,correct,-1,0.30775071283161953,True,not_evaluated
ff,1.95,-40,c,3.0,0,0,5,5,9dcf5e9425123fcfb4acfada,True,True,correct,1,0.29854794495625847,416.9189292861472,1.9499969800005394,4.914058998021796e-05,correct,1,0.29854794495625847,True,not_evaluated
ff,1.95,-40,c,10.0,0,0,5,5,1faa5bcc4f653f2138687c0d,True,True,correct,1,0.2552010291282612,408.7570267799702,1.9499976565911326,3.9002376976173005e-05,correct,1,0.2552010291282612,True,not_evaluated
