 time                   v(clk)                 v(qp)                  v(qn)                  v(xdut.xp)             v(xdut.xn)             i(vdd)                 v(vinp)                v(vinn)               
 1.900159352661893e-08  0.000000000000000e+00  1.800013845862877e+00  1.800012866932129e+00  1.795526993999835e+00  1.795216939850501e+00 -2.604247617896433e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.901159352661893e-08  0.000000000000000e+00  1.800013758004281e+00  1.800012777690342e+00  1.795545934779608e+00  1.795236714060904e+00 -2.528355051189499e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.902159352661893e-08  0.000000000000000e+00  1.800013707150884e+00  1.800012734800530e+00  1.795565131749228e+00  1.795256741285215e+00 -2.582439685354338e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.903159352661893e-08  0.000000000000000e+00  1.800013620772521e+00  1.800012647023509e+00  1.795583765858848e+00  1.795276201091819e+00 -2.507198241203599e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.904159352661893e-08  0.000000000000000e+00  1.800013571114867e+00  1.800012605250626e+00  1.795602657269498e+00  1.795295915039983e+00 -2.560977547671089e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.905159352661893e-08  0.000000000000000e+00  1.800013486177293e+00  1.800012518899448e+00  1.795620991926246e+00  1.795315067732708e+00 -2.486374839049383e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.906159352661893e-08  0.000000000000000e+00  1.800013437680202e+00  1.800012478209889e+00  1.795639584907420e+00  1.795334475607171e+00 -2.539853195618712e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.907159352661893e-08  0.000000000000000e+00  1.800013354144822e+00  1.800012393246812e+00  1.795657627106625e+00  1.795353328254189e+00 -2.465877162484836e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.908159352661894e-08  0.000000000000000e+00  1.800013306774118e+00  1.800012353608015e+00  1.795675928569147e+00  1.795372437039976e+00 -2.519058861998569e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.909159352661894e-08  0.000000000000000e+00  1.800013224604289e+00  1.800012269996835e+00  1.795693685091948e+00  1.795390996496659e+00 -2.445697758831780e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.910159352661894e-08  0.000000000000000e+00  1.800013178327129e+00  1.800012231377663e+00  1.795711701737033e+00  1.795409812969138e+00 -2.498587015089710e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.911159352661894e-08  0.000000000000000e+00  1.800013097487203e+00  1.800012149083409e+00  1.795729179159533e+00  1.795428085885330e+00 -2.425829400861486e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.912159352661894e-08  0.000000000000000e+00  1.800013052272160e+00  1.800012111453605e+00  1.795746917486381e+00  1.795446616618237e+00 -2.478430345367698e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.913159352661894e-08  0.000000000000000e+00  1.800012972727853e+00  1.800012030442268e+00  1.795764122186425e+00  1.795464609446457e+00 -2.406265075854276e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.914159352661894e-08  0.000000000000000e+00  1.800012928544466e+00  1.800011993772812e+00  1.795781588499583e+00  1.795482860819116e+00 -2.458581762335546e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.915159352661895e-08  0.000000000000000e+00  1.800012850262530e+00  1.800011914011802e+00  1.795798526664292e+00  1.795500579820857e+00 -2.386997978969782e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.916159352661895e-08  0.000000000000000e+00  1.800012807081396e+00  1.800011878274662e+00  1.795815727080601e+00  1.795518558025600e+00 -2.439034382762996e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.917159352661895e-08  0.000000000000000e+00  1.800012730029912e+00  1.800011799732479e+00  1.795832404713307e+00  1.795536009279795e+00 -2.368021505539152e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.918159352661895e-08  0.000000000000000e+00  1.800012687822685e+00  1.800011764900680e+00  1.795849345169397e+00  1.795553720328543e+00 -2.419781527843971e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.919159352661895e-08  0.000000000000000e+00  1.800012611970611e+00  1.800011687546850e+00  1.795865768097059e+00  1.795570909736492e+00 -2.349329244330178e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.920159352661895e-08  0.000000000000000e+00  1.800012570710077e+00  1.800011653594498e+00  1.795882454355666e+00  1.795588359466820e+00 -2.400816706624825e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.921159352661895e-08  0.000000000000000e+00  1.800012496027617e+00  1.800011577399621e+00  1.795898628234194e+00  1.795605292759758e+00 -2.330914969038428e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.922159352661896e-08  0.000000000000000e+00  1.800012455687407e+00  1.800011544301457e+00  1.795915065890254e+00  1.795622486842098e+00 -2.382133621900049e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.923159352661896e-08  0.000000000000000e+00  1.800012382145585e+00  1.800011469236932e+00  1.795930996211594e+00  1.795639169586461e+00 -2.312772632715315e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.924159352661896e-08  0.000000000000000e+00  1.800012342700231e+00  1.800011436968808e+00  1.795947190698198e+00  1.795656113529120e+00 -2.363726152550590e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.925159352661896e-08  0.000000000000000e+00  1.800012270271094e+00  1.800011363007210e+00  1.795962882795662e+00  1.795672551133525e+00 -2.294896361684573e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.926159352661896e-08  0.000000000000000e+00  1.800012231696138e+00  1.800011331545710e+00  1.795978839390614e+00  1.795689250289012e+00 -2.345588352885148e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.927159352661896e-08  0.000000000000000e+00  1.800012160352790e+00  1.800011258660220e+00  1.795994298444949e+00  1.795705448008041e+00 -2.277280448222701e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.928159352661896e-08  0.000000000000000e+00  1.800012122624510e+00  1.800011227982696e+00  1.796010022275174e+00  1.795721907577848e+00 -2.327714446494438e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.929159352661897e-08  0.000000000000000e+00  1.800012052340705e+00  1.800011156147832e+00  1.796025253319372e+00  1.795737870519212e+00 -2.259919346772348e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.930159352661897e-08  0.000000000000000e+00  1.800012015436260e+00  1.800011126232748e+00  1.796040749366971e+00  1.795754095560117e+00 -2.310098814259072e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.931159352661897e-08  0.000000000000000e+00  1.800011946186750e+00  1.800011055423493e+00  1.796055757292068e+00  1.795769828688358e+00 -2.242807664658945e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.932159352661897e-08  0.000000000000000e+00  1.800011910083864e+00  1.800011026249473e+00  1.796071030398929e+00  1.795785824116113e+00 -2.292736001480001e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.933159352661897e-08  0.000000000000000e+00  1.800011841844068e+00  1.800010956441571e+00  1.796085819958214e+00  1.795801332258775e+00 -2.225940161259730e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.934159352661897e-08  0.000000000000000e+00  1.800011806521606e+00  1.800010927988420e+00  1.796100874831321e+00  1.795817102854144e+00 -2.275620696253734e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.935159352661897e-08  0.000000000000000e+00  1.800011739268002e+00  1.800010859158555e+00  1.796115450646189e+00  1.795832390705502e+00 -2.209311740410631e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.936159352661898e-08  0.000000000000000e+00  1.800011704705032e+00  1.800010831406611e+00  1.796130291861867e+00  1.795847941118138e+00 -2.258747738615205e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.937159352661898e-08  0.000000000000000e+00  1.800011638414263e+00  1.800010763532194e+00  1.796144658425213e+00  1.795863013243952e+00 -2.192917444579117e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.938159352661898e-08  0.000000000000000e+00  1.800011604590708e+00  1.800010736462276e+00  1.796159290433719e+00  1.795878347997082e+00 -2.242112107656854e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.939159352661898e-08  0.000000000000000e+00  1.800011539240656e+00  1.800010669521287e+00  1.796173452115017e+00  1.795893208839195e+00 -2.176752453018785e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.940159352661898e-08  0.000000000000000e+00  1.800011506137396e+00  1.800010643115261e+00  1.796187879245158e+00  1.795908332333688e+00 -2.225708917491340e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.941159352661898e-08  0.000000000000000e+00  1.800011441706766e+00  1.800010577086647e+00  1.796201840294639e+00  1.795922986214021e+00 -2.160812072284864e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.942159352661898e-08  0.000000000000000e+00  1.800011409305191e+00  1.800010551326700e+00  1.796216066757538e+00  1.795937902732900e+00 -2.209533414693558e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.943159352661899e-08  0.000000000000000e+00  1.800011345772972e+00  1.800010486189714e+00  1.796229831309918e+00  1.795952353857392e+00 -2.145091739186527e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.944159352661899e-08  0.000000000000000e+00  1.800011314054839e+00  1.800010461058547e+00  1.796243861202612e+00  1.795967067568895e+00 -2.193580974150777e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.945159352661899e-08  0.000000000000000e+00  1.800011251400570e+00  1.800010396793373e+00  1.796257433280633e+00  1.795981320031317e+00 -2.129587010234637e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.946159352661899e-08  0.000000000000000e+00  1.800011220348320e+00  1.800010372274506e+00  1.796271270590593e+00  1.795995834993950e+00 -2.177847093376140e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.947159352661899e-08  0.000000000000000e+00  1.800011158552637e+00  1.800010308861640e+00  1.796284654109949e+00  1.796009892780073e+00 -2.114293558280461e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.948159352661899e-08  0.000000000000000e+00  1.800011128149518e+00  1.800010284938760e+00  1.796298302718568e+00  1.796024212944968e+00 -2.162327388972564e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.949159352661899e-08  0.000000000000000e+00  1.800011067193209e+00  1.800010222359577e+00  1.796311501490372e+00  1.796038079935372e+00 -2.099207174218652e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.950159352661900e-08  0.000000000000000e+00  1.800011037422554e+00  1.800010199017293e+00  1.796324965176033e+00  1.796052209150494e+00 -2.147017591733095e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.951159352661900e-08  0.000000000000000e+00  1.800010977287115e+00  1.800010137253557e+00  1.796337982910246e+00  1.796065889124075e+00 -2.084323755988004e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.952159352661900e-08  0.000000000000000e+00  1.800010948133215e+00  1.800010114476695e+00  1.796351265351968e+00  1.796079831137396e+00 -2.131913545881619e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.953159352661900e-08  0.000000000000000e+00  1.800010888800834e+00  1.800010053510492e+00  1.796364105661356e+00  1.796093327775540e+00 -2.069639307879879e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.954159352661900e-08  0.000000000000000e+00  1.800010860248173e+00  1.800010031284400e+00  1.796377210441682e+00  1.796107086238222e+00 -2.117011202396141e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.955159352661900e-08  0.000000000000000e+00  1.800010801701289e+00  1.800009971098869e+00  1.796389876844383e+00  1.796120403126834e+00 -2.055149941426652e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.956159352661900e-08  0.000000000000000e+00  1.800010773735005e+00  1.800009949409377e+00  1.796402807453496e+00  1.796133981596169e+00 -2.102306615520281e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.957159352661901e-08  0.000000000000000e+00  1.800010715956973e+00  1.800009889987916e+00  1.796415303376740e+00  1.796147122229129e+00 -2.040851865289254e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.958159352661901e-08  0.000000000000000e+00  1.800010688562655e+00  1.800009868821555e+00  1.796428063214158e+00  1.796160524171927e+00 -2.087795943647318e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.959159352661901e-08  0.000000000000000e+00  1.800010631536932e+00  1.800009810147907e+00  1.796440391996290e+00  1.796173491954366e+00 -2.026741382961523e-06  8.950000000000000e-01  9.050000000000000e-01 
