Using SPARSE 1.3 as Direct Linear Solver

Note: Compatibility modes selected: hs a


Circuit: comparator atlas: nominal published 27-device matched layout experiment

option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = 125.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xdut.sn3.t1                           0.671907
xdut.vss.t14                       1.69298e-08
xdut.vdd.t7                               1.62
xdut.clk.t3                                  0
xdut.xp.t6                                1.62
xdut.vdd.t6                               1.62
xdut.qn.t2                                1.62
xdut.clk.t0                                  0
xdut.vdd.t9                               1.62
xdut.vdd.t8                               1.62
xdut.xn.t1                                1.62
xdut.vinn.t1                            0.8085
xdut.sn2.t0                           0.665358
xdut.vss.t13                       1.01927e-08
xdut.tail.t5                          0.723984
xdut.tp2.t0                                  0
xdut.sp2.t1                           0.667887
xdut.vss.t9                        1.99256e-08
xdut.xp.t5                                1.62
xdut.qp.t3                                1.62
xdut.qn.t1                                1.62
xdut.vss.t15                       7.18864e-09
xdut.tail.t0                          0.723984
xdut.tp0.t0                                  0
xdut.sp0.t0                           0.656661
xdut.vss.t0                        7.66247e-09
xdut.sn1                              0.658373
qn                                        1.62
xdut.sp0                              0.656661
xdut.sp3                              0.674444
xdut.sp2                              0.667887
xdut.tail                             0.723984
xdut.sn2                              0.665358
xdut.sn3                              0.671907
qp                                        1.62
xdut.sp1                              0.660907
xdut.sn0                              0.654101
xdut.xn                                   1.62
xdut.xp                                   1.62
xdut.tn3.n0                                  0
xdut.tn2.n0                                  0
xdut.tn1.n0                                  0
xdut.tn0.n0                                  0
xdut.vinn.n0                            0.8085
xdut.vinn.n1                            0.8085
xdut.vinn.n2                            0.8085
xdut.qn.n0                                1.62
xdut.qn.n1                                1.62
xdut.qn.n2                                1.62
xdut.qp.n1                                1.62
xdut.qp.n0                                1.62
xdut.qp.n2                                1.62
xdut.clk.n0                                  0
xdut.clk.n1                                  0
xdut.clk.n2                                  0
xdut.tp0.n0                                  0
xdut.tp1.n0                                  0
xdut.tp2.n0                                  0
xdut.vinp.n1                            0.8115
xdut.vinp.n0                            0.8115
xdut.vinp.n2                            0.8115
xdut.tp3.n0                                  0
xdut.vdd.n26                              1.62
xdut.vdd.n0                               1.62
xdut.vdd.n1                               1.62
xdut.vdd.n48                              1.62
xdut.vdd.n2                               1.62
xdut.vdd.n3                               1.62
xdut.vdd.n59                              1.62
xdut.vdd.n4                               1.62
xdut.vdd.n37                              1.62
xdut.vdd.n5                               1.62
xdut.vdd.n60                              1.62
xdut.vdd.n61                              1.62
xdut.vdd.n62                              1.62
xdut.vdd.n64                              1.62
xdut.vdd.n63                              1.62
xdut.vdd.n65                              1.62
xdut.vdd.n66                              1.62
xdut.vdd.n67                              1.62
xdut.vdd.n69                              1.62
xdut.vdd.n68                              1.62
xdut.vdd.n49                              1.62
xdut.vdd.n50                              1.62
xdut.vdd.n51                              1.62
xdut.vdd.n53                              1.62
xdut.vdd.n52                              1.62
xdut.vdd.n54                              1.62
xdut.vdd.n55                              1.62
xdut.vdd.n56                              1.62
xdut.vdd.n58                              1.62
xdut.vdd.n57                              1.62
xdut.vdd.n38                              1.62
xdut.vdd.n39                              1.62
xdut.vdd.n40                              1.62
xdut.vdd.n42                              1.62
xdut.vdd.n41                              1.62
xdut.vdd.n43                              1.62
xdut.vdd.n44                              1.62
xdut.vdd.n45                              1.62
xdut.vdd.n47                              1.62
xdut.vdd.n46                              1.62
xdut.vdd.n27                              1.62
xdut.vdd.n28                              1.62
xdut.vdd.n29                              1.62
xdut.vdd.n31                              1.62
xdut.vdd.n30                              1.62
xdut.vdd.n32                              1.62
xdut.vdd.n33                              1.62
xdut.vdd.n34                              1.62
xdut.vdd.n36                              1.62
xdut.vdd.n35                              1.62
xdut.vdd.n16                              1.62
xdut.vdd.n17                              1.62
xdut.vdd.n18                              1.62
xdut.vdd.n20                              1.62
xdut.vdd.n19                              1.62
xdut.vdd.n21                              1.62
xdut.vdd.n22                              1.62
xdut.vdd.n23                              1.62
xdut.vdd.n25                              1.62
xdut.vdd.n24                              1.62
xdut.vdd.n6                               1.62
xdut.vdd.n7                               1.62
xdut.vdd.n8                               1.62
xdut.vdd.n10                              1.62
xdut.vdd.n9                               1.62
xdut.vdd.n11                              1.62
xdut.vdd.n12                              1.62
xdut.vdd.n13                              1.62
xdut.vdd.n15                              1.62
xdut.vdd.n14                              1.62
xdut.vss.n15                       3.72884e-09
