 time                   v(clk)                 v(qp)                  v(qn)                  v(xdut.xp)             v(xdut.xn)             i(vdd)                 v(vinp)                v(vinn)               
 1.900148524310308e-08  0.000000000000000e+00  1.800000414604213e+00  1.800001241658007e+00  1.797565358726329e+00  1.797402870869278e+00 -6.316667578870356e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.901148524310308e-08  0.000000000000000e+00  1.800001214627599e+00  1.800000475622529e+00  1.797575701002850e+00  1.797414409399800e+00 -2.614127815318943e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.902148524310308e-08  0.000000000000000e+00  1.800000404351958e+00  1.800001225526229e+00  1.797586324806926e+00  1.797424935549973e+00 -6.175632441893101e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.903148524310308e-08  0.000000000000000e+00  1.800001198325102e+00  1.800000464066053e+00  1.797596500774346e+00  1.797436296479618e+00 -2.600603947782798e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.904148524310308e-08  0.000000000000000e+00  1.800000394387141e+00  1.800001209721189e+00  1.797606955925021e+00  1.797446651075963e+00 -6.036815833268408e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.905148524310308e-08  0.000000000000000e+00  1.800001182357798e+00  1.800000452826494e+00  1.797616969463873e+00  1.797457838454493e+00 -2.587295370448444e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.906148524310308e-08  0.000000000000000e+00  1.800000384700491e+00  1.800001194233458e+00  1.797627259833369e+00  1.797468025463705e+00 -5.900166956893929e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.907148524310309e-08  0.000000000000000e+00  1.800001166715925e+00  1.800000441893751e+00  1.797637114706478e+00  1.797479043219636e+00 -2.574197133492126e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.908148524310309e-08  0.000000000000000e+00  1.800000375283097e+00  1.800001179053962e+00  1.797647244050812e+00  1.797489066489516e+00 -5.765636549654373e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.909148524310309e-08  0.000000000000000e+00  1.800001151390082e+00  1.800000431258104e+00  1.797656943907662e+00  1.797499918434585e+00 -2.561304435886431e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.910148524310309e-08  0.000000000000000e+00  1.800000366126381e+00  1.800001164173960e+00  1.797666915870937e+00  1.797509781698414e+00 -5.633176814595631e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.911148524310309e-08  0.000000000000000e+00  1.800001136371218e+00  1.800000420910194e+00  1.797676464251860e+00  1.797520471531863e+00 -2.548612617368296e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.912148524310309e-08  0.000000000000000e+00  1.800000357222089e+00  1.800001149585030e+00  1.797686282370377e+00  1.797530178412596e+00 -5.502741378968310e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.913148524310309e-08  0.000000000000000e+00  1.800001121650609e+00  1.800000410841007e+00  1.797695682710564e+00  1.797540709725250e+00 -2.536117154355476e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.914148524310310e-08  0.000000000000000e+00  1.800000348562269e+00  1.800001135279053e+00  1.797705350416743e+00  1.797550263739498e+00 -5.374285236871279e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.915148524310310e-08  0.000000000000000e+00  1.800001107219855e+00  1.800000401041860e+00  1.797714606050059e+00  1.797560640017684e+00 -2.523813655536545e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.916148524310310e-08  0.000000000000000e+00  1.800000340139269e+00  1.800001121248205e+00  1.797724126676200e+00  1.797570044579566e+00 -5.247764686079539e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.917148524310310e-08  0.000000000000000e+00  1.800001093070850e+00  1.800000391504386e+00  1.797733240838865e+00  1.797580269208866e+00 -2.511697857048804e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.918148524310310e-08  0.000000000000000e+00  1.800000331945708e+00  1.800001107484941e+00  1.797742617620746e+00  1.797589527633660e+00 -5.123137304030231e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.919148524310310e-08  0.000000000000000e+00  1.800001079195782e+00  1.800000382220523e+00  1.797751593454828e+00  1.797599603902482e+00 -2.499765616772336e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.920148524310310e-08  0.000000000000000e+00  1.800000323974485e+00  1.800001093981987e+00  1.797760829535149e+00  1.797608719410146e+00 -5.000361884237433e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.921148524310311e-08  0.000000000000000e+00  1.800001065587119e+00  1.800000373182500e+00  1.797769670091935e+00  1.797618650513180e+00 -2.488012911447011e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.922148524310311e-08  0.000000000000000e+00  1.800000316218747e+00  1.800001080732317e+00  1.797778768523612e+00  1.797627626231717e+00 -4.879398405829329e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.923148524310311e-08  0.000000000000000e+00  1.800001052237594e+00  1.800000364382824e+00  1.797787476766818e+00  1.797637415273208e+00 -2.476435831232277e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.924148524310311e-08  0.000000000000000e+00  1.800000308671897e+00  1.800001067729158e+00  1.797796440516150e+00  1.797646254241885e+00 -4.760207982055110e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.925148524310311e-08  0.000000000000000e+00  1.800001039140197e+00  1.800000355814266e+00  1.797805019325010e+00  1.797655904238803e+00 -2.465030577949458e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.926148524310311e-08  0.000000000000000e+00  1.800000301327570e+00  1.800001054965971e+00  1.797813851274705e+00  1.797664609411242e+00 -4.642752825332469e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.927148524310311e-08  0.000000000000000e+00  1.800001026288159e+00  1.800000347469858e+00  1.797822303446922e+00  1.797674123296298e+00 -2.453793458006355e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.928148524310312e-08  0.000000000000000e+00  1.800000294179624e+00  1.800001042436439e+00  1.797831006398997e+00  1.797682697543448e+00 -4.526996204713262e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.929148524310312e-08  0.000000000000000e+00  1.800001013674942e+00  1.800000339342877e+00  1.797839334653572e+00  1.797692078167997e+00 -2.442720881918031e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.930148524310312e-08  0.000000000000000e+00  1.800000287222132e+00  1.800001030134462e+00  1.797847911332138e+00  1.797700524280964e+00 -4.412902419858320e-07  8.950000000000000e-01  9.050000000000000e-01 
 1.931148524310312e-08  0.000000000000000e+00  1.800001001294235e+00  1.800000331426827e+00  1.797856118312090e+00  1.797709774417788e+00 -2.431809358456670e-06  8.950000000000000e-01  9.050000000000000e-01 
 1.932148524310312e-08  0.000000000000000e+00  1.800000280449382e+00  1.800001018054146e+00  1.797864571366024e+00  1.797718095110566e+00 -4.300436749952010e-07  8.950000000000000e-01  9.050000000000000e-01 
