Using SPARSE 1.3 as Direct Linear Solver

Note: Compatibility modes selected: hs a


Circuit: comparator atlas: nominal published 27-device matched layout experiment

option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = -40.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xdut.sn3.t1                           0.558416
xdut.vss.t14                        3.8916e-10
xdut.vdd.t7                               1.62
xdut.clk.t3                                  0
xdut.xp.t6                                1.62
xdut.vdd.t6                               1.62
xdut.qn.t2                                1.62
xdut.clk.t0                                  0
xdut.vdd.t9                               1.62
xdut.vdd.t8                               1.62
xdut.xn.t1                                1.62
xdut.vinn.t1                            0.8115
xdut.sn2.t0                           0.538243
xdut.vss.t13                       3.69569e-10
xdut.tail.t5                          0.537399
xdut.tp2.t0                                  0
xdut.sp2.t1                           0.535802
xdut.vss.t9                        3.04345e-10
xdut.xp.t5                                1.62
xdut.qp.t3                                1.62
xdut.qn.t1                                1.62
xdut.vss.t15                       6.19743e-10
xdut.tail.t0                          0.537399
xdut.tp0.t0                                  0
xdut.sp0.t0                           0.517461
xdut.vss.t0                        2.84215e-10
xdut.sn1                              0.521103
qn                                        1.62
xdut.sp0                              0.517461
xdut.sp3                              0.555962
xdut.sp2                              0.535802
xdut.tail                             0.537399
xdut.sn2                              0.538243
xdut.sn3                              0.558416
qp                                        1.62
xdut.sp1                              0.518659
xdut.sn0                              0.519942
xdut.xn                                   1.62
xdut.xp                                   1.62
xdut.tn3.n0                                  0
xdut.tn2.n0                                  0
xdut.tn1.n0                                  0
xdut.tn0.n0                                  0
xdut.vinn.n0                            0.8115
xdut.vinn.n1                            0.8115
xdut.vinn.n2                            0.8115
xdut.qn.n0                                1.62
xdut.qn.n1                                1.62
xdut.qn.n2                                1.62
xdut.qp.n1                                1.62
xdut.qp.n0                                1.62
xdut.qp.n2                                1.62
xdut.clk.n0                                  0
xdut.clk.n1                                  0
xdut.clk.n2                                  0
xdut.tp0.n0                                  0
xdut.tp1.n0                                  0
xdut.tp2.n0                                  0
xdut.vinp.n1                            0.8085
xdut.vinp.n0                            0.8085
xdut.vinp.n2                            0.8085
xdut.tp3.n0                                  0
xdut.vdd.n26                              1.62
xdut.vdd.n0                               1.62
xdut.vdd.n1                               1.62
xdut.vdd.n48                              1.62
xdut.vdd.n2                               1.62
xdut.vdd.n3                               1.62
xdut.vdd.n59                              1.62
xdut.vdd.n4                               1.62
xdut.vdd.n37                              1.62
xdut.vdd.n5                               1.62
xdut.vdd.n60                              1.62
xdut.vdd.n61                              1.62
xdut.vdd.n62                              1.62
xdut.vdd.n64                              1.62
xdut.vdd.n63                              1.62
xdut.vdd.n65                              1.62
xdut.vdd.n66                              1.62
xdut.vdd.n67                              1.62
xdut.vdd.n69                              1.62
