Using SPARSE 1.3 as Direct Linear Solver

Note: Compatibility modes selected: hs a


Circuit: comparator atlas: nominal published 27-device matched layout experiment

option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xdut.vdd.n47                               1.8
xdut.vdd.n46                               1.8
xdut.vdd.n27                               1.8
xdut.vdd.n28                               1.8
xdut.vdd.n29                               1.8
xdut.vdd.n31                               1.8
xdut.vdd.n30                               1.8
xdut.vdd.n32                               1.8
xdut.vdd.n33                               1.8
xdut.vdd.n34                               1.8
xdut.vdd.n36                               1.8
xdut.vdd.n35                               1.8
xdut.vdd.n16                               1.8
xdut.vdd.n17                               1.8
xdut.vdd.n18                               1.8
xdut.vdd.n20                               1.8
xdut.vdd.n19                               1.8
xdut.vdd.n21                               1.8
xdut.vdd.n22                               1.8
xdut.vdd.n23                               1.8
xdut.vdd.n25                               1.8
xdut.vdd.n24                               1.8
xdut.vdd.n6                                1.8
xdut.vdd.n7                                1.8
xdut.vdd.n8                                1.8
xdut.vdd.n10                               1.8
xdut.vdd.n9                                1.8
xdut.vdd.n11                               1.8
xdut.vdd.n12                               1.8
xdut.vdd.n13                               1.8
xdut.vdd.n15                               1.8
xdut.vdd.n14                               1.8
xdut.vss.n15                       1.11136e-10
xdut.vss.n0                        1.13871e-10
xdut.vss.n5                        1.07329e-10
xdut.vss.n6                        1.01875e-10
xdut.vss.n4                        9.53539e-11
xdut.vss.n7                        8.71992e-11
xdut.vss.n3                        7.79964e-11
xdut.vss.n230                      6.71185e-11
xdut.vss.n8                        3.45246e-11
xdut.vss.n16                       2.13912e-11
xdut.vss.n17                       6.52376e-12
xdut.vss.n2                        3.12873e-12
xdut.vss.n18                       2.11263e-11
xdut.vss.n10                       3.42887e-11
xdut.vss.n231                      6.69692e-11
xdut.vss.n9                        7.78603e-11
xdut.vss.n12                       8.70746e-11
xdut.vss.n11                       9.52392e-11
xdut.vss.n14                       1.01768e-10
xdut.vss.n13                       1.07229e-10
xdut.vss.n19                       1.11041e-10
xdut.vss.n1                        1.13779e-10
xdut.vss.n20                        1.4513e-10
xdut.vss.n21                       3.05824e-10
xdut.vss.n22                       4.51776e-10
xdut.vss.n24                       3.49389e-10
xdut.vss.n23                       3.59878e-10
xdut.vss.n25                       4.16101e-10
xdut.vss.n26                       3.76118e-10
xdut.vss.n228                      3.58255e-10
xdut.vss.n227                      3.68553e-10
